Insert,Sort
19,334
16,973
17,2403
16,2939
16,4333
39,6039
16,7934
16,10198
16,12622
16,15655
16,18696
15,22271
17,25633
16,29464
16,32996
16,36619
15,39143
15,41840
14,44510
12,47665
14,52814
13,56661
14,65217
15,66661
13,75422
15,78809
12,83693
12,91289
13,97243
14,102809
13,110173
14,117547
13,125391
13,132727
13,139929
18,147933
13,159509
14,187943
18,200287
13,181083
12,189548
13,201509
13,211897
14,224606
14,232409
15,241524
14,249716
13,260503
13,271264
13,283978
13,294577
14,323623
15,318970
13,330165
13,341854
14,355286
14,365774
13,379916
14,392837
14,405811
14,424942
14,433029
13,447515
13,465294
13,477651
13,488714
15,513270
15,535824
14,557233
16,589649
16,598623
14,602965
15,648457
14,642793
14,648930
14,676016
19,760607
15,712820
14,717870
15,741397
15,753020
15,772571
14,782475
14,858658
16,869508
21,1.52001e+06
20,1.36638e+06
21,1.63342e+06
24,1.1514e+06
18,2.02419e+06
36,1.74826e+06
36,1.80799e+06
35,1.91311e+06
35,2.21909e+06
35,2.16175e+06
35,2.27174e+06
33,2.31312e+06
34,2.44463e+06
33,2.46318e+06
35,2.56513e+06
