Insert,Search
55,230
91,428
39,613
46,898
43,1139
38,1271
41,1586
44,1786
40,2010
78,3765
42,2632
88,3313
48,2966
50,3716
45,2760
39,3711
38,3316
37,3411
36,3555
35,3794
35,3522
37,3911
36,4235
36,4292
35,4523
38,4667
36,4777
35,4771
35,4583
36,4643
37,4952
36,5265
37,5531
35,5923
36,6331
35,6710
186,6625
35,6588
96,6402
315,6950
89,8592
56,11883
352,12531
268,13768
281,10058
134,8578
36,8742
92,8668
88,7480
84,8252
83,8673
32,8358
215,8671
79,8041
83,8695
31,8789
83,8397
76,8361
145,8425
101,9673
30,9680
81,8848
89,9138
78,9758
30,8880
73,10263
72,9366
72,9944
71,10235
29,10129
73,10878
73,10386
72,10115
29,10064
73,10933
72,13274
88,11116
76,11952
29,9962
77,11120
72,12083
219,11922
76,12348
29,11100
72,11936
73,12793
72,13393
28,12468
72,13984
71,12406
73,13257
72,13200
29,13860
74,19437
120,13600
96,16488
35,13807
120,14718
81,16428
80,17436
