Insert,Sort
46,188
13,327
13,499
13,696
13,888
13,1095
13,1302
13,1516
14,1791
17,2476
14,2165
13,2378
14,2616
20,2881
14,3064
13,3673
14,5709
13,5504
14,5273
14,4695
13,4609
21,5160
14,7363
15,5716
14,6111
14,5656
13,5941
13,6135
13,6370
14,6607
13,6869
13,7095
15,8082
13,7601
13,7805
13,8057
14,8314
13,8557
13,8783
13,9004
13,9257
13,9532
13,9777
13,12292
14,11521
18,11640
17,10770
13,11046
14,11267
19,13490
13,12193
14,12079
13,12307
14,12610
14,12830
13,13066
14,13641
21,16485
14,14833
17,14674
14,15111
18,16308
13,15254
13,15121
13,15385
13,15671
14,15908
13,17519
16,16394
14,16652
13,16920
13,18439
29,20103
14,18131
14,17934
14,18873
13,19219
14,18768
14,19057
14,19242
13,19526
13,19761
13,20005
13,20819
14,20545
13,21169
13,21072
15,21352
13,21652
13,21898
14,23565
14,23145
14,24153
13,22977
14,23256
14,23519
13,23791
13,24102
14,24321
13,28293
