Insert,Search,Collisions
18,16,0
21,19,0
18,18,0
18,17,2
16,17,2
18,18,2
15,17,0
17,17,0
18,18,6
17,17,6
17,18,6
18,18,5
18,18,6
17,17,4
17,19,4
17,17,6
17,17,8
16,17,4
17,19,4
17,18,6
16,18,8
16,19,2
18,18,13
16,18,4
16,18,2
17,18,8
18,17,2
17,17,8
17,18,10
18,17,18
16,17,2
17,18,8
17,17,5
17,18,17
17,17,12
17,19,13
21,19,34
19,19,25
18,19,18
17,18,9
17,18,12
17,18,20
18,18,17
19,19,16
20,23,37
19,19,18
18,19,21
16,18,11
20,20,24
19,21,17
18,19,23
18,20,16
18,20,18
17,19,17
16,18,15
18,20,23
18,19,20
19,18,26
19,21,24
19,19,29
21,19,36
22,19,40
18,22,20
19,20,23
20,19,37
19,20,26
18,18,21
19,19,29
18,19,25
18,19,21
19,17,21
19,19,27
21,22,32
23,19,41
18,21,16
21,19,36
20,22,27
19,20,30
19,20,24
21,21,33
19,20,20
20,20,30
20,21,35
22,20,45
20,20,24
20,20,34
19,20,30
20,22,34
20,19,32
24,20,47
23,22,47
23,22,42
18,21,22
21,22,48
21,21,38
23,19,50
22,22,46
20,23,38
20,21,32
21,23,49
